DEGREE_PROGRAMME,COMPANY_NAME, LOCATION, CONTACT
COMPUTER SYSTEMS ENGINEERING,Frevane Hospital,Embu,info@frevanehospital.co.ke
Software engineering,Teach2give company,NYERI,teach2give@gmail.com
information technology ,MABATI ROLLING MILLS ,Thika,rollingmillsm@gmail.com
FINANCIAL ENGINEERING,KIMUNYE TEA FACTORY,KIMUNYE,info@kimunye.ktdateas.com
Statistics,NHIF THIKA,"THIKA,KIAMBU",info@nhif.or.ke
Statistics,KRA KERICHO BRANCH,KERICHO,callcenter@kra.go.ke
Software Engineering ,KTC,Kitale,kitaletechnical19@gmail.com
Computer Science,KENYATTA UNIVERSITY,KAHAWA,info@ku.ac.ke
Computer Science,Climate Wavers,Nairobi,climatewavers@gmail.com
Business information technology ,Kinoro Tea Factory Ltd,"Meru county, igoji West, Kinoro location ",info@ktdateas.com
Bsc.Software engineering,huduma centre baringo,kabarnet Baringo,cmhudumabaringo@gmail.com
Mathematics and Computer Science,THIWASCO,Thika,info@thikawater.co.ke
Computer Science,KERUGOYA COUNTY REFERRAL HOSPITAL,Kerugoya,kerugoyahospital@gmail.com
Statistics,KALRO,NAIVASHA,karinaivasha@gmail.com
information technology,Teach2give company,Nyeri,info@teach2give.com
Software Engineering,TEACH2GIVE,NYERI,info@teach2give.com
Software Engineering,Kijana Poa Enterprize Org.,Kitengela,kijanapoaenterprize@gmail.com
Software Engineering ,Nairobi City Water and Sewerage Company,Nairobi,info@nairobiwater.co.ke.
information technology,ICT AUTHORITY TURKANA COUNTY OFFICE ,lodwar,ictlodwar@gmail.com
Mathematics and Computer Science , ICT Fire Group,Thika,info@ictfire.com
Software Engineering,Rift Valley Training Institute,Nakuru,principal@rvist.ac.ke
Financial Engineering,KENYA POLICE DT SACCO NAIROBI ,Nairobi ,info@policesacco.com
Software Engineering ,WEBUYE COUNTY HOSPITAL,WEBUYE,webuyedistricthospital@yahoo.com
Computer Science,Elderman Labs,Bungoma,elderman.labs@gmail.com
Software Engineering ,Masyopnet Technologies,Kitui,support@masyopnet.com
information technology,AFRIKA GENERAL MERCHANTS,KIAMBU,afrikamerchants@gmal.com
Actuarial Science ,KIRINYAGA COUNTY CO-OPERATIVE UNION LTD ,KIRINYAGA ,info@kiricop.co.ke
Business information technology,THE NYERI NATIONAL POLYTECHNIC,NYERI,info@thenyeripoly.ac.ke
Mathematics and Computer Science,cotext expert,ruiru town,contentexpertagencies2019@hotmail.com
information technology,Gertrudes children hospital,"muthaiga,  kiambu",ugakuru@gerties.org
Software Engineering,TEACH2GIVE,KUTUS,info@teach2give.com
information technology ,Kapkatet ICT center ,Kapkatet ,kapkatetict.info@gmail.com
Statistics ,Ram Hospital,kisii,hospitalramkisii@gmail
Financial Engineering,Mabati rolling mills ,THIKA,rollingmillsm@gmail.com
Software Engineering,DANKYTECHS SOLTION,MATUU ,dankyteschs@gmail.com
Financial Engineering,Tausi Assurance Company Limited,"Westlands ,Nairobi",clients@tausiassurance.com
Software Engineering,Kitale T. College,Trans-Nzoia,kitaletechnical19@gmail.com
Mathematics and Computer Science,Quantam Nebula Limited,Nairobi,info.quantamnebula@gmail.com
Software Engineering,Kijana poa.,Kajiado,kijanapoaenterprize@gmail.com
Bsc in Mathematics and computer science,Stella wanyaga,Embu,info@embu.go.ke
Mathematics and Computer Science,National Hospital Insurance Fund,EMBU,embu@nhif.or.ke
Financial Engineering,BIASHARA FOSA ,"Mairo-inya , Nyahururu ",gracen@biasharasacco.co.ke
Software Engineering,Thales Software Solutions,,thalessolutions189@gmail.com
Software Engineering,Thales Software Solutions,Nakuru,thalessolutions189@gmail.com
Computer Science,TEACH2GIVE,nyeri,info@teach2give.com
Financial Engineering,Cosmopolitan Sacco,Molo,info@cosmopolitansacco.co.ke
Computer Science ,CBK Pension  Towers,Nairobi,support@ecitizen.go.ke
Computer Science,Gacharage Tea Factory CO LTD,Murang'a ,info@gacharage.ktdateas.com
 Actuarial Science,SOUTHERN STAR SACCO,chogoria town,info@sothernstar.co.ke
Computer Science,Thika Law Courts,KERUGOYA,kerugoyacourt@court.go.ke
Business information technology ,ministry of EAC Arid semi Arid lands and Regional Development ,Nairobi ,psasal2018@gmail.com/ps@asals.go.ke
Mathematics and Computer Science,NG-CDF NYARIBARI MASABA CONSTITUENCY ,KEROKA-MASIMBA,cdfnyaribarimasaba@ngcdf.go.ke
Software Engineering ,SHOFCO ,Nairobi ,info@shofco.org
information technology,BUNGOMA COUNTY REFFERAL HOSPITAL,BUNGOMA,bungomadhospital@yahoo.com
Acturial Science,Kirinyaga county government ,Kirinyaga ,info@kirinyaga.go.ke
Software Engineering ,AVSI Foundation ,"Lang'ata, Nairobi ",elvisondijo@gmail.com
 Actuarial Science,Mombasa county office; trade and revenue ,"Mombasa, Mvita, Bima towers ",trademombasa9@gmail.com
Software Engineering,Kijanapoa enterprize Org.,Kitengela,kijanapoaenterprize@gmail.com
Computer Science,Chuka county refferal hospital ,Chuka,medsuptchuka@gmail.com
Software Engineering,kirinyaga ,Kirinyaga ,info@teach2give
information technology ,Kagumo teachers' Training College,"gatitu,nyeri",info@kagumocollege.ac.ke
information technology,County Assembly of Nakuru,Nakuru,Wasegesward@gmail.com
information technology,Narok ICT Department,Narok,ronoline.Cheruiyot@icta.go.ke
Software Engineering,LISH LIMITED,NAKURU,info@lishailabs.com
Computer Science,FIDELITY SHIELD INSURANCE COMPANY,KISUMU ,lwanami@fidelityshield.com
Software Engineering ,Office of the Data Protection Commissioner ,"Britam Towers, Upperhill Nairobi ",info@odpc.go.ke
information technology,Moretouchy company,Kisii,info@muyog.org
information technology,kerugoya  County referral hospital,kerugoya,kerugoyahospital@gmail.com
Mathmatics and computer science,NCPB,Nairobi,infor@ncpb.co.ke
information technology,TechSavanna Company Limited,"Reliance Centre,Nairobi",info@techsavanna.technology
Software Engineering ,DIMKES SACCO,kiambu,info@dimkessacco.co.ke
Computer Science,NATIONAL SOCIAL SECURITY FUND ,Nairobi Westlands ,"nssf.westlands@nssfkenya.co.ke
"
Statistics ,COUNTY GOVERNMENT OF NYERI,NYERI,kilimonyeri@gmail.com
Software Engineering,Rift Valley Training Insitute ,Nakuru,principal@rvist.ac.ke
Computer System Engineering,kenya medical training collage ,Lugari ,lugari@kmtc.ac.ke
Mathematics and Computer Science,Mp-Shah Hospital,NAIROBI,info@mpshahhosp.org
Software Engineering,Kitale Technical College,Kitale,kitaletchnical19@gmail.com
Computer Science,MATHENGE TECHNICAL TRAINING INSTITUTE,OTHAYA ,info@mathengetti.ac.ke
Statistics,KRA KERICHO BRANCH,KERICHO,callcenter@kra.go.ke
Financial Engineering,County Government Of Kirinyaga,Kutus,kirinyagacounty2013@gmail.com
Software Engineering ,Kenya Forest service ,Nyandarua ,zmnyandarua@kenyaforestservice.org
information technology,National health insurance fund,kerogoya,kerogoya@nhif.or.ke
Mathematics and Computer Science ,County Government of Kirinyaga ,kutus,info@kirinyaga.go.ke::
Software Engineering,Sankhyana Consultancy Services,Nairobi,info@sankhyana.com
Mathematics and Computer Science,Avenue Hospital,Parklands,info@avenuehealthcare.com
Business information technology,TEACH2GIVE,Kutus,info@teach2give.com
Computer Science,Mutall Data Managers,Kajiado,info@dimkessacco.co.ke
Computer Science ,PCEA Nakuru West College ,Nakuru ,info@pceamedicalcollege.ac.ke 
Software Engineering ,Ngenx Solutions Limited,Nairobi ,info@ngenx.io
Software Engineering,THALES SOFTWARE SOLUTIONS,Nakuru,info@itea4.org
Software Engineering,Thales Software Solutions,,thalessolutions189@gmail.com
Software Engineering,Thales Software Solutions,,thalessolutions189@gmail.com
information technology,Nakuru level 5/6 Hospital ,Nakuru ,rvpghnakuru@yahoo.com
Financial Engineering,KENYA INSTITUTE OF SECURITY AND CRIMINAL JUSTICE ,"Nairobi , Hazina Towers ",info@kiscj.ac.ke
Software Engineering,TRIGAGA TEA FACTORY LTD,BOMET,"info@trigaga,ktdateas.com"
information technology ,ICT AUTHORITY ,"Nairobi CBD,Teleposter Towers 12th Floor",info@ict.go.ke
Statistics ,COUNTY GOVERNMENT OF KERICHO ,KERICHO ,info@kericho.go.ke
 Software Enginnering,TEACH2GIVE,Kutus,info@teach2give.com
Software Engineering,Craydel Kenya Limited ,Nairobi,info@craydel.com
Computer Science,Egerton University ,NAKURU Njoro,registrar.hca.@egerton.ac.ke
Software Engineering,TEACH2GIVE,nyeri,info@teach2give.com
Actuarial Science ,ELDOWAS,Eldoret ,eldowas@gmail.com
Software Engineering ,GATUNDU ICT CENTER ,"Gatundu,Kiambu",duncanmuthami92@gmail.com
information technology,MURANG'A UNIVERSITY OF TECHNOLOGY,MURANG'A TOWN,info@mut.ac.ke
Computer Science,FLAMINGO HORTICULTURE LIMITED ,Nanyuki ,info@flamingo.net
Computer Science,ICT AUTHORITY KITUI COUNTY OFFICE,KITUI (Kitui county commissioner's offices),info@icta.go.ke
Software Engineering,COUNTY GOVERMENT OF NAIROBI,NAIROBI,INFO@NAIROBI.CO.KE
Software Engineering,TEACH2GIVE ,Nyeri,info@teach2give.com
Software Engineering ,East African Portland Cement PLC,"Athi River, Machakos ",info@eapcc.co.ke
Software Engineering,zeno Computers,MOMBASA,zenocomputer254@gmail.com
information technology ,County government of uasin gishu,Eldoret ,Info@uasingishu.go.ke
Financial Engineering,  NDEGE CHAI SACCO,KERICHO,info@ndegechaisacco.com
Mathematics and Computer Science,Chepsirei technical and vocational college ,"Elgeyo marakwet ,kimwarer",chepsireitvc@gmail.com
SOFTWARE ENGINEERING,Kitale Technical College,Kitale,kitaletechnical19@gmail.com
Computer Science ,Joetech General Supplies Limited ,Nairobi,info@joetechltd.co.ke
Computer Science,JOETECH GENERAL SUPPLIES LIMITED ,Nairobi,info@joetechltd.co.ke
COMPUTER SYSTEMS ENGINEERING ,JUSNET BUSINESS INSTITUTE ,MALINDI,jusnetcollege@ymail.com
Mathematics and Computer Science ,muki sacco society ,ndunyu njeru ,info@muki sacco.co.ke
information technology ,ELDAMA RAVINE KAREN ROSES ,ELDAMA RAVINE ,Sales@karenroses.com
Computer Science ,kerugoya County referral hospital ,kerugoya ,kerugoyahospital@gmail.com
Computer Science ,kerugoya County referral hospital ,kerugoya ,kerugoyahospital@gmail.com
Software Engineering ,Kaptembwa Angaza,Nakuru,nuabutoleaon22@gmail.com
Financial Engineering,Ngo coordination board,Nairobi ,info@ngobureau.go.ke
Software Engineering,LINKSYSCOM MEDIA,MOLO,info@linksys.co.ke
Computer Science,NSSF THIKA,THIKA ,info@nssfkenya.co.ke
Software Engineering,Sankhyana Consultancy Services,Nairobi,info@sankhyana.com
Software Engineering,Teach2give,Nyeri,info@teach2give.com
Software Engineering ,Paveeria Tech Solutions ,Nyeri Town ,careers@paveeriatechsolutions.co.ke
Mathematics and Computer Science,KERUGOYA LAW COURT,KERUGOYA,kerugoyacourt@court.go.ke
Computer Science,Systems Reengineered,"Nairobi, Westlands",info@sysre.co.ke
COMPUTER SYSTEM ENGINEERING,TEACH2GIVE,NYERI,infor@teach2give.com
information technology ,county government of kirinyaga ,Kutus,info@kirinyaga.go.ke
Statistics ,"SAFRA DATA SCIENCE,NAIROBI",Nairobi, info@datascienceafrica.org
Computer Science,KERUGOYA COUNTY REFERRAL HOSPITAL,Kerugoya,kerugoyahospital@gmail.com
Financial Engineering,Simba Chai Sacco ,Kericho town,info@simbachaisacco.co.ke
Mathematics and Computer Science,Agricultural Finance Corporation ,Loitokitok,info@agrifinance.org
Satistics,National Social security Fund,Kerugoya,info@nssfkenya.co.ke
Mathematics and Computer Science,Context Expert Agencies ltd,"Ruiru, Kiambu",contentexpertagencies2019@hotmail.com
Mathematics and Computer Science,KEYMDEN SOLUTIONS,"Ngong-Lane plaza, Ngong-road",info@keymdensolutions.com
information technology ,KENYA PIPELINE COMPANY LIMITED (PS1 Changamwe Terminal),"Old Magongo Road,ChangamweMombasa",info@kpc.co.ke
Software Engineering,Zetech University,"Ruiru, Kiambu",info@zetech.ac.ke
Mathematics and Computer Science,National Hospital Insurance Fund,EMBU,embu@nhif.or.ke
Statistics ,national social security fund,"KAPENGURIA,west pokot ",info@nssfkenya.co.ke
Financial Engineering,KEMRI HQ,Nairobi ,corporateservices@kemri.go.ke
Software Engineer ,Impax Business Solutions ,Nairobi,info@impaxafrica.com
Software Engineering ,LIQUID TECH ,NAIROBI ,liquidinfo@liquidtelecom.com
ACTURIAL SCIENCE,WAKENYA PAMOJA SACCO,KISII,wpsacco@wakenyapamojasacco.com
Financial Engineering,APENIA Modern Banking for Africans,"Nairobi,Kenyatta University",infor@apenia.com
Statistics ,COUNTY GOVERNMENT OF MÛRANG'A ,Mûrang'a ,cdpomuranga@gmail.com
Software Engineering ,Kenya Port Authority ,Mombasa,ca@kpa.co.ke
Statistics ,County Government Of Kilifi ,Kilifi ,planning@kilifi.go.ke
Computer Science ,Wilmas Computers ,Kerugoya,wilmascomputers@gmail.com
Computer science ,Kenyatta university training research and referral hospital,Nairobi,Ict@kutrrh.goke.ke
Mathematics and Computer Science,VERITAS BOOKKEEPERS,NAIROBI-Westlands,info@veritasbookkeepers.com
 Financial Engineering ,County government of Laikipia,Nanyuki ,info@laikipia.go.ke
Software Engineering,Shield International ,Nairobi ,info@shieldintlorg.com
information technology ,Mwai Kibaki Hospital - KNH,OTHAYA,knhadmin@knh.or.ke
Software Engineering,NAKURU LEVEL 5 HOSPITAL (REFERRAL) ,NAKURU,rpghnakuru@yahoo.com
information technology, Teachers service commission,BOX 1 MAGADI/KAJIADO,Janetkoikai@gmail.com
Computer Science,Kiru Tea Factory,"Kiria-ini,Muranga",info@kiru.ktdateas.com
information technology,KCT Technical College,"Kibingoti,Kirinyaga",jmramah@gmail.com
Software Engineering ,ICT AUTHORITY KITUI COUNTY OFFICE,KITUI (Kitui county commissioner's offices),info@icta.go.ke
Actuarial Science ,ZENO COMPUTERS,MOMBASA,zenocomputer254@gmail.com
Software Engineering,TEACH2GIVE,NYERI,info@teach2give.com
Mathematics and Computer Science,EGERTON UNIVERSITY,"NAKURU, NJORO",registar.hca@egerton.ac.ke
Computer Science,TEACH2GIVE,Kutus,info@teach2give.com
Actuarial Science ,Zeno computers ,Mombasa ,Zeno computer 254@gmail.com
Financial Engineering,Ministry of interior and national Administration ,Nairobi,feedback@president.go.ke
Bsc in Computer Science,Agricultural Finance Corporation,Narok,afcloitokitok@agrifinance.org
Statistics,National Social Security Fund,Kerugoya ,info@nssfkenya.co.ke
Statistics STATISTICS ,COUNTY GOVERNMENT OF BUNGOMA ,Bungoma ,bungomacountygovt@gmail.com
Mathematics and Computer Science,ALEWAKI INVESTMENT LIMITED,KAGIO,info.alewaki@gmail.com
Actuarial Science, Zeno computers,Mombasa,Zenocomputers254@gmail.com
Software Engineering ,DOUBLE MECHARNTS GEN. COMPANY ,Murang'a ,doublemGen@gmail.com
Computer Science,KERUGOYA COUNTY REFERRAL HOSPITAL,Kerugoya,kerugoyahospital@gmail.com
information technology,COUNTY GOVERNMENT OF UASIN GISHU,ELDORET,info@uasingishu.go.ke
Computer Science ,Brackenhurst Conference and Retreat Centre,Kiambu,bookings@brackenhurst.com
Finantial Engineering ,Bulfam investment and meat suppliers limited,Nairobi ,bulfamsupliers@gmail.com
Business information technology ,NAIROBI CITY COUNTY ,NAIROBI,info@nairobi.go.ke
Mathematics and Computer Science,Cassini Degra Limited,Ruiru,info.cassinidegra@gmail.com
Software Engineering,County Government  of Kirinyaga,Kutus,info@kirinyaga.go.ke
Software Engineering ,Zeno computers,"NAIROBI, OLYMPIC ",contact @somoafrica.org
Computer System Engineering,SEROXIDE ENTERTAINMENT,"HOMA BAY, NYANZA",info@seroxideentertainment.co.ke
Acturial Science,ZENO COMPUTERS,MOMBASA,zenocomputer254@gmail.com
information technology,KALRO-NRI,Kakamega,kalronri@kalro.org
Financial Engineering,Rigoma school, Nyamira,rigomagirls@gmail.com
information technology ,Teach2give,Nyeri ,info@teach2give.com
information technology,KCT Technical College,"Kibingoti,Kirinyaga",jmramah@gmail.com
Mathematics and Computer Science,AMREC Consultants,Nairobi,info@amrecafrica.org
Acturial Science,AMREC Consultants,Nairobi,info@amrecafrica.org
Software Engineering ,PATNAS SACCO SOCIETY ,chebirbelek Bomet,info@patnassacco.co.ke
information technology ,Nanyuki Teaching and Referral Hospital ,Nanyuki,info@nanyukihospital.org.
Computer Science,Gully Net solutions ,"Kinoo,Kiambu",gullynet@gmail.com
information technology,Nakuru level 5/6 Hospital ,Nakuru,rvpghnakuru@yahoo.com
Financial Engineering,St Mary's Mision Hsp,Nakuru,elementaita@stmmh.co.ke
information technology ,Nanyuki teaching and referral hospital ,"Nanyuki,Laikipia",nanyukihospital@gmail.com
Mathematics and Computer Science,NATIONAL HEALTH INSURANCE FUND-KISII,KISII,kisii@nhif.or.ke
information technology,Teach2give,Kutus,info@teach2give.com
information technology,Zora Technologies,Nyandarua,zoratechnologies@gmail.com
Software Engineering,AlphaGrid Technologies,Eldoret,info.alphagridtechnologies@gmail.com
Software Engineering,AlphaGrid Technologies,Eldoret,info.alphagridtechnologies@gmail.com
Software Engineering,Kijana Poa Org.,Kitengela,kijanapoaenterprize@gmail.com
Computer Science,KALRO NAIVASHA,Naivasha,karinaivasha@gmail.com
Mathematics and Computer Science,West pokot Treasury and Economic Planning,Kapenguria,info@westpokot.go.ke
Software Engineering,Deloway Solutions,Nairobi ,hello@deloway.com
information technology ,Sidiana bank ,Kilimani Nairobi ,Talktous@sidianbank.co.ke
Mathematics and Computer Science ,AFS HOLDINGS LIMITED ,NAIROBI ,info@afsholdings.co.ke
Financial Engineering,WRA narok sub basin,Narok,wrmanarok@gmail.com
Statistics ,NATIONAL SOCIAL SECURITY FUND ,KAPENGURIA ,infor@nssfkenya.co.ke
information technology,"Ministry of water, sanitasion and irrigation","Maji house,upper hill, Nairobi ",ps@water.go.ke
Software Engineering ,Rift Valley Training Institute,Nakuru,principal@rvist.ac.ke
Software Engineering ,County Government of Uasin gishu ,Eldoret,countyhrm@uasingishu.go.ke
Computer Science,STRAIGHT UP MISSION,"MARA, NAROK",straightupmission@gmail.com
Mathematics and Computer Science ,Nakuru water and Sanitation company limited ,Nawasco Plaza Government road,info@nawasco.co.ke
Software Engineering,NAIROBI CITY COUNTY(CITY HALL ANEX),NAIROBI,INFO@NAIROBI.GO.KE
Financial Engineering,"KALRO,HQ",Nairobi ,info@kalro.org
information technology,AWS | TechAlpha,Nairobi,703360107
Mathematics and Computer Science,SOGUTU HQ TELEKOM,BUNGOMA,sogutuhqtelekom@gmail.com
Financial Engineering,FLAVIN VENTURES CO.LTD,NAIROBI/MERU,FLAVIN VENTURES SKE@GMAIL.COM
Mathematics and Computer Science ,COUNTY GOVERNMENT OF THARAKA-NITHI ,Kathwana ,info@tharakanithi.go.ke
Computer System Engineering,Nextgen NETWORKS ,Nairobi ,info@nextgenke.com
Financial Engineering,KENYA ELECTRICITY GENERATING COMPANY,NAIVASHA,pr@Kengen.co.ke
information technology,MKU Kitale Odel Centre,Kitale,info@eac.ac.ke
Software Engineering ,County commissioner's office Trans Nzoia ,Kitale ,info@ict.go.ke
Computer Science,Kagumo teachers' Training College,"gatitu,nyeri",info@kagumocollege.ac.ke
Statistics ,SAFRA DATA,Nairobi ,safraconsultke@gmail.com
Software Engineering,Maasai Mara University,Narok,info@mmarau.ac.ke
Statistics,SAFRA DATA,Nairobi ,safraconsultke@gmail.com
information technology,EWASCO EMBU,EMBU,info@embuwater.co.ke
Software Engineering,Naj Tracking Ltd,Nairobi Parklands-16 Mogotio Road,najtracking@gmail.com
Software Engineering,Kenya power and lighting company,Nairobi,kplc.co.ke
Computer Science,UNIVERSITY OF EMBU,EMBU,info@embuni.ac.ke
Software Engineering,Nakuru Training Institute,Nakuru,info@ntci.ac.ke
Software Engineering,Nairobi City County,Nairobi ,info@nairobi.go.ke
Software Engineering ,ELDAMA RAVINE KAREN ROSES ,ELDAMA RAVINE ,Sales@karenroses.com
Software Engineering ,Rift Valley Institute.,Nakuru,principal@rvist.ac.e
Mathematics and Computer Science,COUNTY GOVERNMENT OF BUNGOMA,BUNGOMA,bungomacountygvt@gmail.com
Electronics and Computer Engineering,Coast General Teaching & Referral hospital,MOMBASA,info@cpgh.go.ke
Software Engineering,NAROK COUNTY GOVERMENT,NAROK,administration@narok.go.ke
Software Engineering ,COUNTY GOVERNMENT OF NYERI,NYERI,kilimonyeri@gmail.com
 Computer System Engineering,CENTRIC LIMITED,PARKLANDS,info@centricltd.co.ke
Software Engineering,TEACH2GIVE,Nyeri,info@teach2give.com
Software Engineering,SOMO AFRICA ,"NAIROBI, OLYMPIC",contact@somoafrica.org
Software Engineering ,KTC,Kitale,kitaletechnical19@gmail.com
Mathematics and Computer Science,EGERTON UNIVERSITY,"NAKURU, NJORO",registar.hca@egerton.ac.ke
information technology,EWASCO EMBU,EMBU,info@embuwater.co.ke
Software Engineering,Teach2give,Kirinyaga,info@teach2give.com
information technology,Rudis Gadget World,ELDORET,rgroupeld@gmail.com
Financial Engineering,County Government of Nandi,Kapsabet ,info@nandi.go.ke
Computer Science,NYAMIRA COUNTY OFFICE HQ,NYAMIRA,info@nyamira.go.ke
information technology,Dynamic Mobility Technology,Nairobi,info@@dynamicmobility.co.ke
information technology,Thika Ministry of Education,Thika,educationthika@yahoo
information technology,Kijanapoa enterprize Org.,Kitengela,kijanapoaenterprize@gmail.com
information technology,Techlion,NAIROBI,info@techlion.co.ke
Computer Science,Tetu Aberdare Water & Sanitation Company LTD,NYERI,teawasco@gmail.com
Financial Engineering,LAIKIPIA EAST SUB-COUNTY TREASURY,Nanyuki,tkibobo@gmail.com
Software Enginnering,"Ministry of information,communication and the digital economy","Nairobi,CBD",info@information.go.ke
Software Engineering ,Kijanapoa enterprize Org.,Kitengela,kijanapoaenterprize@gmail.com
Computer System Engineering,KEFRI ,Kiambu,director@kefri.org
Computer Science,Ketech Solutions.,Nairobi,Ketechsolutions@gmail.com
Software Engineering,Meru Central Dairy,MERU,maziwa@merudairy.co.ke
information technology,Mwalimu National sacco ,upperhill Nairobi ,mwalimu@mwalimunational.coop
,,,
Statistics ,Nazareth Hospital ,Kiambu,ruirunazarethhospital@gmail.com
Software Engineering ,Nakuru referral hospital ,Nakuru ,rpghnakuru@yahoo.com
 Computer System Engineering,Clifford technologies Limited,"Parklands, Nairobi",info@clifford.co.ke
Computer Science ,THETA TEA FACTORY ,Kiganjo,info@theta.ktdateas.com
Statistics STATISTICS ,COUNTY GOVERNMENT OF BUNGOMA ,Bungoma ,bungomacountygovt@gmail.com
Statistics ,COUNTY GOVERNMENT OF MÛRANG'A ,Mûrang'a ,cdpomuranga@gmail.com
Software Engineering,COUNTY GOVERMENT OF NAIROBI,NAIROBI,INFO@NAIROBI.CO.KE
Mathematics and Computer Science,Agricultural Finance Corporation ,Loitokitok,info@agrifinance.org
Software Engineering,TEACH2GIVE,NYERI,info@teach2give.com
Software Engineering,TEACH2GIVE,NYERI,info@teach2give.com
Business information technology,THE NYERI NATIONAL POLYTECHNIC,,info@thenyeripoly.ac.ke
information technology,Tonycomm Internet Providers,NAKURU ,tonycommgroupltd@gmail.com
Actuarial Science ,Kirinyaga County Government ,Kirinyaga ,info@kirinyaga.go.ke
Software Engineering,TEACH2GIVE,Kirinyaga ,info@teach2give.com
Mathematics and Computer Science,   NCPB ,EMBU,info@ncpb.co.ke
information technology ,Thika technical training institute,Thika,thikatechnical@gmail.com
Mathematics and Computer Science, NCPB,EMBU,info@ncpb.co.ke
Mathematics and Computer Science,Mp-Shah Hospital,NAIROBI,info@mpshahhosp.org
